Civil and Structural Construction Documents for New Home Build in PA,"I am a general contractor that needs a complete set of civil and structural construction documents made for a custom built residential home on a slope in the city of Pittsburgh.

An architectural engineer has drawn a floor plan and elevations that I need converted into blueprints including cross sections for the site plan, foundation, grading plan, curb cut, stormwater/environmental, and structural design all of which needs to be stamped by the appropriate parties (civil, structural).  I have the topographical survey and geotechnical report for the site already completed.  I need permit ready plans that can be submitted to the city upon the completion of Zoning board approval.  Please include in your cost or price the time for revisions as the city rarely approves on the first shot.  Also include your timeline for completion.  Site plan, grading plan are a priority for timing and submitting to zoning, structural aren't as urgent until zoning approval.

Thank you!
Ian",42
Process map and SOP development ,"MUST: Ability to obtain (or currently hold) a DoD Secret Clearance or DOS Public Trust

Role:
- Works on process improvement projects
- Works with client to understand, capture, and document processes accurately both in written form and visually using Visio diagrams
- Ensures project meets contract requirements
- Communicates with client on project status and results
- Identifies and resolves project issues
- Nurtures long-term client relationship.

Qualifications: Bachelor's degree with at least 5 years of experience successfully performing management consulting or related work, including one to two years leading and directing consulting projects, some of which were large and complex in nature.

Please provide a RESUME along with your proposal",39
"Optimize Ubuntu Server for osm, carto, mapnik rendering ","We have an Ubuntu dedicated root server with
Intel Xeon E5 2630v4 10 x 2.20 GHz
256GB
2TB SSD

So actually enough power.

We have created 10 styles on carto that need to be rendered on our server. For this we use the batch render process rendered.
As an example
render_list --map=blueprint -a -z 5 -Z 17 --num-threads=4 --max-load=9999999

Unfortunately our render process stops every time after about 15 -20 minutes.
So we need a specialist who knows Ubuntu, PostGreSql, OSM, Mapnik and Carto and may have done something like this before.

The styles are all available and already transferred, the database has all OSM data from Europe. So it's just about optimizing the rendering process.

Translated with www.DeepL.com/Translator (free version)",23
"Attract travel agents, tour operators and experts to join our platform","Experienced individual with contacts of travel agents, tour operators, tourist experts to contact and attract DIRECTLY travel agents to join/ sign up in our web platform.
We should attract agents from all over the world but we should begin from Cyprus, Greece, Israel, EU, Russia, and UK.
Attached you can find a brief description of the company's services for your ease of reference.
In case the cooperation with the individual is fruitful then, the individual might continue cooperation with the Company as much as needed",83
Creating Engaging Youtube Thumbnails,"Ongoing work of creating youtube thumbnails.

We would like them similar design with bright colors as the attached examples.
I have a headshot with background already removed for use and two logo files.

Will provide color scheme.

Will provide headline titles and some images for creation.

Ideal person has the ability to also use photoshop to edit photos given to put into the thumbnail.

Approximately 15-20 thumbnails will be needed monthly.



",44
Laravel and FileMaker integration,"I am looking for someone willing to learn how to integrate Laravel with FileMaker (Backend).

Documentation will be provided for connecting to FileMaker's data api.

Initial development will occur on a test database. If candidate is successful, this will lead to further ongoing work.

Estimated time commitment will be 5 hrs per week.",26
Business Operations,"We're looking for the right-hand person to our Founder. This is a great opportunity to join a small yet growing company with a solid track record of success and a focus on data analytics

Responsibilities

- Sales and Marketing for the analytics service
- Hiring the right talent
- Administrative tasks of managing business accounts and calendars
- Managing employees and helping them deliver the best work
- Content management on website & social media

Qualifications

- Bachelor's degree or equivalent
- Proficient in English & MS Office Tools
- Experience in managing multiple priorities & administrative coordination
- Well-organized, detail-oriented, ability to multi-task with great follow-up skills
- Strong written and verbal communication skills",37
DME/HME medical biller,"Hello,

I am starting a DME supply company and want someone to help with the bidding documents and also want to have a list of past winners in 2019 and 2020

This will be a long-term project once successfully completed.


S.",91
Editor for online maps ,"Hebrew speakers wanted!
A new project in Poland is looking for an Editor for online maps. This job is in Transit Operations, which entails researching, editing, and validating data pertaining to transit entities and schedules.
This is work from home and all the equipment is provided by the company.
Main requirements:
- Be located in Poland
- Keen attention to detail.
- Customer service background (Communications team) preferred, but not necessary.
- Good knowledge of  English and Hebrew at B2+ level
- Able to maintain positive attitude and attention to detail when performing repetitive tasks
- Willing to work in a shift-based work schedule (24/7) in friendly multinational team and big corporation",44
Help write a roadmap and white paper to launch a crypto currency,Create a roadmap and white paper to launch a cryptocurrency to be used with existing businesses which will I believe will give me and my team a much more creditable viable currency that will be used to buy existing products from my business instead of a scam coin where a community is just hyping a coin or token to drive up the price so they sell at the top and leave all the late comers with complete losses and no way to ever get the price of the scam or hype coins price up again.,7
Ecom Facebook Ads / Google Ads Media Buyer (No Agencies),"- Setup & Manage Facebook Ads account
- Test for profitable cold audiences
- Profitably run & manage retargetting campaigns
- Bi-weekly Reporting

Budget: $500 - $1000 per Ad Account

Must have over $100,000+ in Ad Spend",77
Looking for Chinese character expert to share short interesting Chinese characters,"Hello, I'm creating some short stories about interesting Chinese characters, and looking for an expert who can share some interesting Chinese characters with me and their stories, and also help me to check my own ideas if its correct or not and add some more interesting thoughts.

I have a large number of international students who want to learn Chinese and will be posting this on my social media and by email / in articles to Chinese language students.

We hope it can help more people understand China and give them motivation and interest to learn Chinese!

We're looking for 3 stories like this per week on an ongoing basis. There are more opportunities for deeper cooperation if this goes well.

I have some ideas myself, but I'm not a native speaker, so I want to make sure to work with someone who is an expert who can help make this of the highest quality.

If you're interested, please share 1 or 2 interesting Chinese characters and why you think they're interesting. Also let me know your rate. We could start with a brief paid test project and then go from there :)

Thank you!",51
Looking for a Developer to build a custom ERP solution with open source technology,"I run a Spectacle wholesale business, which includes sales of Spectacle Frames, Accessories and Lenses. I require an ERP to be built on an already existing platform like ODOO or any other platform out there that best suits my requirement.

I require an ERP to be built for the below mentioned usage.

1. Generate Purchase Orders for Manufacturers
2. Update Purchase Orders based on delivery schedule
3. Update Inventory upon receipt of goods
4. Tag Photographs of each product once uploaded in Inventory
5. Make Sales invoices or link to TALLY(TALLY Integration)
6. Generate Primary orders based on deficit in Sales orders executed
7. Enter Shipping details and Delivery details individually for each invoice generated
8. Link returns to the Invoices generated if any
9. Payment due and market Outstanding dashboard.

Basically what i am looking for is a customised solution to be built for Inventory management and an ERP solution. This can be built on an Existing platform or built from scratch. ",55
"Graphic designer needed to design wedding documents: hotel map, key card sleeves, signage ","Looking for a fast graphic designer to work on branding for a wedding. We have a few ideas and logos in mind. Articles needed include: welcome sign, weekend itinerary for wedding guest bags, menu, venue map",86
Minecraft Player Wanted to do Recorded Streams,"Are you a minecraft player who wants to earn money recording yourself exploring new servers?

If so, this might be a great part-time (paid per video) position for you.

We are seeking new video creators to contribute to a fast-growing YouTube channel specializing in Minecraft. You don't need to be a video editor, just having a basic screen share setup will do.

The most important part is that you love minecraft, know it well, and can inject some humor into mostly impromptu video walkthroughs of various adventure maps.

Interested? Please submit a cover letter explaining your past experience with minecraft and in the title of the cover letter state your favorite adventure map.

There will be fun, reliable and ongoing work for candidates who live and breath minecraft.",18
Create 3D environment using given 2D terrain map in Unreal engine,"Looking for an experienced developer for a 3–6-month project. You will work with a team of experts on this project. Must be experienced with 3D Animation, 3D map Making. Please note we are creating a Rich Internet Application. We have specifications available for applicants to review upon request.

Required Experience


UI, UX, interactivity design experience a huge plus
Graphics design experience is a plus.
3D Map Making from 2D Map
Experience in making architectural recommendations
Prior experience with Scrum is a plus
JIRA knowledge is a plus
Prior experience with continuous integration is a plus
Experience with GIT source control
The UX goal of our project is to take a highly technical and difficult topic and translate that into a beautiful, intuitive, and functional interface.

To be the best fit for this project you need:

Ability to communicate clearly
Dedication to meet project deadlines in a timely manner
Knowledge of Smart Commits for our ticketing systems
Attention to details
Willingness to sign an NDA",100
Online research: business size based on google map,"Objective and purpose:
I have a list of ~300 addresses, I need for each of this address an estimate of their business size (revenue) based on a ranking/ reference table I have created.

Task:
- Your job use google map to view the type of building and compare it to the chart provided.
- Type the ranking/assigned value in the appropriate line and column of provided excel sheet
- more than 15 address per hour

Timeline:
- strict - 1 week deadline

This is a really straight forward task: copy and paste, use of chart to assign value
",72
Project 49 - Laravel Full-time Developers. Long-term projects.,"Laravel Full-time Developers. Long-term projects.

Opportunity to work on our projects (software) on a fixed-price basis.

Unlimited Revision needed.

Send your Industry experience in Application developments, type of applications developed, etc for us to select the best offer.

Also, mention your working hours per day, (Including the time band), and the number of days per week/month.

Also, send us your hourly rate, so developers who had given us the lowest hourly rate (with the appropriate Experience) will be given the task documents to get the time & Fixed priced offers.

Good prospect for the right developers, based on the performances evaluated over a period of time
",92
Create shapemap in PowerBI (today!),"I have a table with real estate properties. Each property is either for sale, or for rent . Each property has a latitue and longitude coordinates (see attachment).

We want to take that data, and use it to populate the colors of a shapemap, whereby within each of the shapes, I can aggregate the average sale price, average rent price, average yield, etc.

This should be a straight forward job for someone familiar with shapemaps in PowerBI.

Looking for someone who can start and finish today!

Please clearly state your approach in your offer, looking to hire urgently.

Thank you!

screenshot1: property info table
screenshot2: example of the shape map where data needs to be aggregated

Alternative shapefiles can be used - the main challenge will remain the same: how to map the lat lons to the specific shape tiles.
",49
Zapier expert needed to help map/track our accounting work/processes,"Our current accounting process is somewhat vague.

We need someone to meet with our accountant once a week to create what is called a standard hours dashboard.

With a standard hours dashboard, we are able to map the quantity of work done each week in our accounting process.

The definition of a standard hour is any quantity of work that can be done in an hour.

Examples include: classifying expenses = .03 standard hours, cash counts of our vault = .33 standard hours.

Seeing the total standard hours completed each week will give us an idea if any accounting work is not getting done.

I have included examples of zaps we have created and the accompanying dashboards.

We use salesforce standard objects as a way to create the dashboard.

To capture standard hours, automations will need to be made from zapier.



We need someone to meet with our accountant and create a standard hours dashboard.

We need the whole accounting process mapped.

We will need to link asana, google sheets, quickbooks to salesforce.
",81
Make my app   live  in GP,"Hello, I have a ready-made application (apk), but I don't have an account. I am looking for an Android developer, you will need to publish an application. You will receive all materials from us. This is a 15-minute job as I have everything ready on my end, so you just need to upload it.
We do not collect and will not ask you for your account data, or any other personal data.

After publish and end this contract we do application updates. We design/write/fix everything and send it to you in a finished form for publishing. 1 update about 5-10 dollars.

Please send a SCREENSHOT  of your console where you will download our application,  with all the apps in your account. If you have at least 1 app and there are no bad, suspended apps, violating Google policy,  then you are the right fit for us. Please attach it to your proposal, otherwise, your proposal will not be considered.",40
Whitepaper and roadmap writer,"We are looking for someone to write our white paper and roadmap for 3 projects and our ecosystem.

This is for a crypto project with different projects under its umbrella.

This documents needs to reflect our scale of professional projects. ",84
Add 2-3 Screens in an Existing Flutter & Firebase App,"Hello There,

I have an existing Flutter Android App and need to Add 2-3 Simple Form Screens to it.
If you have experience with Firebase and Flutter then this Job is for you. Next, more projects are waiting for you. Complete this quick and grab the next Opportunity.

Attach your recent Work Projects in a similar Category.
Use #Lookstor in your application.",95
Directors Personal Assistant - (Two Directors) ,"****** PLEASE NOTE: WORK TIMES WILL BE UK - GMT *******

Hi All,

We are looking for a Personal Assistant to help two company directors with day to day tasks. This will include but will not necessarily be limited to:

- Handling and responding to all correspondence including phone calls, emails and letters.
- Making personal and professional travel and hotel arrangements.
- Taking notes at meetings, preparing the minutes and subsequently distributing to all participants.
- Settings reminders for meetings, appointments and other important tasks.
- Liaising with other members of staff and clients.
- A lot of phone communication.
- Organising and maintaining personal and professional diaries, and making appointments.
- Ensuring the directors are well prepared for meetings.
- Reminding directors of important call-backs, and keeping them on task.
- Carrying out research on behalf of management.
- Administrative duties as required.

You will be helping organising lives in both professional and personal environments, helping to gain as much time back for them as possible so they can focus on running the company.

Excellent English is an absolute must, as is previous Personal Assistant experience.
Organisational skills are extremely important.

Thank you all I look forward to hearing from you

Anthony",72
Social Content Creator & Social Media Manager for Real Estate Marketing Agency,"Looking for an individual with experience in Social Media Marketing and Social Management. Knowledge in creating/building Facebook ad campaigns is ideal.  Experience working in the real estate industry and creating property listing ads for Facebook and Instagram preferred but not required.

Specific tasks/job responsibilities will include:

• Execution of weekly content marketing plans
• Creation of visual assets to be included in weekly Content Marketing Plans
• Creation of industry-related visual assets for social posts and ads
• Maintain graphics library on WordPress site
• Creation of visual assets and writing corresponding copy for property listing ads + publishing ads to Facebook.
• Social Media Management for real estate clients (Currently using eClincher) including creating and scheduling daily activity for multiple profiles and on multiple platforms
• Basic video editing & maintaining video library on YouTube, and WordPress site.

Required:
- Reliable personal computer (or laptop computer) with an efficient & reliable internet connection at all times
- Reliable, working Smartphone with an active data plan or wifi connection at all times
- Webcam and Zoom account (All communication with direct supervisor and assigned clients is via Zoom video conference and phone)
- must maintain a professional appearance and demeanor
- must have excellent communication skills & writing skills
- must be efficient on the computer and comfortable in common internet software platforms (such as Google G-suite)

The position is ongoing indefinitely, with the potential for growth within as the company grows. This is a remote, contracted labor position, for full-time hours (for approx. 35-40 hours/week) and will be compensated at an hourly rate TBD and based upon experience and skill level.

If you feel you would be a good fit for our team, please apply with past work experience skills and attach or include a link to your *portfolio of past work.


*We would specifically like to see examples of previous social media post graphics and/or ad graphics you have created, and a sampling of your video work should you have experience in video.

",51
MS Office Automation - Outlook AddIn,"Your tasks include:
●Involvement in SDLC of Microsoft .Net based (VB.net) Microsoft Office Automation applications including analysis, design, development, coordination, implementation and maintenance of the product.
●Required to work in a fast-paced agile environment and with a team of dynamic Software Engineers to develop end-to-end desktop applications.
●You will develop Microsoft Office Automation applications using Microsoft .Net technologies, RESTful web services, HTML5, CSS3, JavaScript frameworks, SQL Server etc.
●You will use .NET using Visual Studio as a primary technology to develop applications.
●You are always willing to work in a constantly changing world and have ability to adapt to new technologies faster.


What You should have:
●You have a bachelor’s degree (B. Tech) in computer science, Mechanical engineering or related field with excellent academic records (75-85%) across 10th,12th and Engineering OR B.Sc. with MCA.
●You must have 5+ years’ experience in developing desktop application using Microsoft .Net technologies.
●3+ years’ experience in developing desktop applications using VB.NET or C#
●Experience in developing MS Office Automation product is a plus.
●You should have strong analytical skills and good in Data Structure and Algorithm
design concepts, which is really required in this role.
●Detail-oriented, Critical-thinking, Experience or done projects with software designing in a test-driven environment.
●You must possess excellent communication Skills both written and oral, and you are a fast learner with an ability to adapt quickly. ",55
Human resources management ,"equality, diversity, and inclusion (EDI) report

In this paper, you will analyze the HR practices of an organization which you are familiar with, with a focus on equality, diversity, and inclusion (EDI). You can analyze an organization which you belong or used to belong to. You can also analyze a company where one of your family members or friends work. please (1) evaluate the organization's EDI status, (2) analyze factors that enhanced or hindered EDI in this organization, and (3) provide recommendations for this organization to promote EDI.

Please use the APA 7th referencing style

",6
"Need a technical advisor to manage wordpress - security, speed and backups","Need a technical advisor/person to manage wordpress - security, speed and backups. The core roles are:
1. Understand the current architecture of the website and its components.
2. Suggest and implement speed improvement techniques
3. Audit security risks to the website and implement mitigation techniques
4. Create and implement mechanisms for backups of website
5. Be the technical advisor for future upgrades, additions or edits to website and its components (e.g. plugins , apis etc)
",75
Positioning mobile device in absolute coordinates and scale on the given map,"We should be able to supply street map outline with absolute coordinates and scale. The app should position me exactly on the map when I open it. Then app should open an AR view where I can see map outline and real streets environment. As those probably wouldn't  overlap precisely, I should be able to tweak map position a little by panning it left/right and tilting up/down and zooming in/out",38
iOS App to display multi media with a basic map integration,"Need an MVP version of an iOS app. Based on the results, there are many enhancements that we'd like to make over time, so this project will expand after a successful first version.

The app will require front end and back end development including any database work, APIs, etc. You will be starting with designs only.

The app will pull content (text, photos, audio) from a server so that the app can be used offline.

The app will include the following pages:

1) A 'Welcome' page with text and images and a 'get started' link
2) 'Overview' pages that contain text, images, a button to play a pre-recorded audio clip and 3-4 links to other pages in the app (there will be multiple 'Overview' pages, but each will have the same layout, links and content.
3) 'Map' pages for each 'Overview' page. Each map page will display a 'Location' as well as the user's location.
4) 'Location' pages for each 'Overview' page. Each location page will auto-start when the user reaches the location on page 3. The location page will have a button to play a pre-recorded audio clip and play a slideshow of images in sync with the audio clip. This may be a audio/video file if easier. The user should be able to replay, the audio/pictures. This page will also have a link that goes to the next 'Overview' page.

There may be multiple sets of 2-4, as many as 10.

5) 'Thank You' page that is displayed after all the above sets are complete. The thank you page will include text, images and a few links - including external links to Safari and to Facebook for sharing.

We are open to recommendations on how to store the required data. The app should pull in all of the content (audio, video, text, images, location data, etc.) required for the full session.

The app will also have a 'publisher' version to create the experiences above.

I have a prototype and many of the image assets already. They are in a Figma design.

If you are interested, I can provide a link to a website that's in development that provides an overview of the solution. It will explain better what the app will do and the purpose of the publisher app.

In your response, please include links, videos, etc. that show projects you have completed with similar requirements.",11
Google Sheets Zapier Active Campaign Setup (NO CODING REQUIRED),"I need you build the following setup for a lead generation funnel

Google Sheet Integrated with Active Campaign Via Zapier

The sheet will have 2 sheets

Sheet 1: Master Lead List (this is where new leads and relevant details will be entered. Some people will also mark updates to the sheet based on conversations that happen on other channels)

1. push new rows as contacts into Active Campaign (AC)
2. change contact details in AC / remove them from an AC  automation if the another column in the row changes
3. update the sheet if a contact replies to an automation in Active Campaign
4. Conditionally format rows based on values in certain columns


Sheet 2: Sales Manager Summary
1. Based on values in the first sheet, a subset of leads will be pulled to this sheet

**PLEASE DO NOT APPLY WITHOUT ANSWERING THE SCREENING QUESTION - I WILL ONLY BE ABLE TO REVIEW THE APPLICANTS WHO ANSWER THE SCREENING QUESTION",91
Digital artist needed to draw digital interactive map for website,"I'm looking to have a digital image of a fictional setting illustrated for a page on my website. It will be of a modern metropolitan setting, so I need a lot of skyscrapers, schools, and bridges. This map is also needed to display economic inequality. Parts of it needs to be very dark and desolate, highlighting that these areas are food desserts, while others need to be vibrant. I'll need to be able to make the map digital and interactive.

The project will begin in February. I would like to have it completed in three months.

Thank you. ",83
Rank my google business to No 1 on google map,"I am looking for an expert in google Map ranking

He/She should be able to make a business rank Number 1 in 4 weeks or less on Google maps

We ran an agency and we need someone to join our team that can help rank our customers on google maps.

The pay will be per project and it negotiable for the right person
",17
Work from Home Opportunity for an Email Support (Customer Service Associate),"https://nadinewest.com/
Full-time Customer Service Associate for a Fast-Growing Start-Up!

Our fast-growing, Austin-based Fashion & Apparel Company, Nadine West, is searching for an experienced Customer Service Representatives to perform to handle customer service queries and other related tasks. This dynamic role requires someone who is solutions-driven, attentive-to-detail and someone ready for the fast, ever-changing life of a startup.

DUTIES & RESPONSIBILITIES:
Respond to email inquiries about the company, subscription boxes, shipping, returns, etc.
Ensure customer requests and inquiries are handled promptly
Provide top of the line service in a friendly and knowledgeable manner
Familiarize yourself about the company, our customers and live by our culture
Ensure you meet performance metrics
Attend 1x1 huddle/coaching with team leader and team meetings as scheduled
Keep yourself abreast of changes to company policies, guidelines, FAQs, etc.
Provide feedback to the leadership team to help improve existing processes

ESSENTIAL SKILLS:
Solutions-oriented and inherently resourceful
Excellent written and oral communication
Can easily adapt to a fast-growing company setup
Must be self-driven and has a sense of accountability
Able to commit to full-time work, minimum 40 hours a week

EXPERIENCE:
At least 2 years of BPO experience
Experience with BOTH email and phone support
Equipped with a backup Internet Service Provider

We are growing and definitely looking for someone who can stay with us long-term. If you think you’re a great fit for this position and are willing to grow with us, send us your application along with your updated resume. Put the word PROBLEM-SOLVER at the top of your cover letter so we know you've read the entire job post.

*Nadine West is an Equal Opportunity and Living Wage Employer, drug and alcohol-free workplace, and complies with FLSA and ADA regulations as applicable.",95
Add Azure AD authentication to DRF/React project,"Hello,

I need to integrate the Azure authentication with React - Metronic Admin Dashboard Theme and the Django Rest Framework app.

Scope:
1 Login to Metronic Admin Theme using Azure AD user.
2 If does not exist: create Django user from Azure AD user (do not store password)
3 Populate name and email address on the profile page (Metronic Admin Theme Profile)
4 List all the logged user groups via API (DRF).

For React frontend authentication utilize Microsoft @azure/msal-react @azure/msal-browser library.
For DRF backend authentication utilize 'oauth2_provider', 'social_django’, ‘drf_social_oauth2' modules

The attached architecture diagram describes the authentication flow between React, DRF, and Azure AD.
Project code development needs to follow best practices.
Follow the Metronic authentication structure.
Code needs to be well documented!

Thanks",75
Looking for horse artwork to be drawn,"Looking for a illustrator to do multiple designs to be places onto products for sale. Mainly stickers, sweatshirts, T-shirts, and hats. Looking to purchase copyright from the artist not royalties. Will commission multiple pieces and if it works out will commission many more! designs are mainly horse related, barrel racing, roping, reining, dressage. Art work would range from line art, sketch, to full color with backgrounds. ",51
"Looking for 1-2 map painters (printable), (3-4 maps per month, period of more than 1 year)","We are looking for 1-2 map painters, who are required to draw in accordance with the sketch style, the style of our sample, and the requirements of our map content.
1 Because we will finally print into a print with a size of about 36*40cm (similar size, depending on the size of your work)
2 We require the map to have a certain visual impact, so that users will like it at first sight.
3 If you have color rendering capabilities, give priority.
4 Able to fully understand our expression requirements for content, and create more capable creations based on our requirements.
5 We have about 3-4 maps to be produced each month (different content), and the cycle may last more than one year, so if the effect is satisfactory, our workload is very large.
Therefore, we hope to find a painter who is efficient, cost-effective, and can continue to work for us for a long time.
Please show me examples of your works with similar styles, and we will give priority to them.",12
Webscraping.io sitemap needed  (exporting of a JSON),"Using the chrome extension wbescraper.io,  please create a sitemap for

https://www.canada.ca/en/health-canada/services/drugs-medication/cannabis/industry-licensees-applicants/licensed-cultivators-processors-sellers.html

to extract the table titled:

Table: Authorized licensed cultivators, processors and sellers under the Cannabis Act

The job is complete when you provide a JSON that I can import, and extract from the above table.  I need the JSON because I need to extract the table every few days.

If you know how to use webscraper, this will take 5 minutes.",38
